,characteristic,word,type,topic_count
0,taste,sweet,beer,34
1,taste,bitter,beer,27
2,taste,sour,beer,25
3,raw material,hop,beer,26
4,raw material,malt,beer,17
5,mouthfeel,light,beer,60
6,mouthfeel,medium,beer,3
7,mouthfeel,full,beer,0
8,character,floral,beer,3
9,character,earthy,beer,2
10,character,citrusy,beer,1
11,categories,ale,beer,90
12,categories,lager,beer,73
13,appearance,foam,beer,9
14,appearance,color,beer,3
15,appearance,clarity,beer,0
16,taste,cherry,wine,79
17,taste,dry,wine,66
18,taste,plum,wine,51
19,taste,balanced,wine,49
20,taste,vanilla,wine,38
21,taste,earthy,wine,35
22,taste,blackberry,wine,30
23,taste,fruity,wine,25
24,taste,smooth,wine,25
25,taste,rich,wine,24
26,taste,chocolate,wine,22
27,taste,floral,wine,22
28,taste,citrus,wine,20
29,taste,spicy,wine,20
30,taste,honey,wine,15
31,taste,crisp,wine,14
32,taste,peach,wine,14
33,taste,savory,wine,12
34,taste,tannic,wine,12
35,taste,oaky,wine,11
36,taste,acidic,wine,10
37,taste,bold,wine,10
38,taste,jammy,wine,9
39,taste,delicate,wine,8
40,taste,pineapple,wine,8
41,taste,buttery,wine,5
42,taste,smoky,wine,5
43,taste,coffee,wine,4
44,taste,grassy,wine,4
45,taste,herbal,wine,4
46,taste,aromatic,wine,3
47,taste,peppery,wine,3
48,taste,leathery,wine,2
49,taste,melon,wine,1
50,taste,nutty,wine,1
51,taste,zesty,wine,1
52,taste,minerally,wine,0
53,character,acidity,wine,84
54,character,sweet,wine,61
55,character,light,wine,59
56,character,medium,wine,55
57,character,tannin,wine,52
58,character,sweetness,wine,13
59,character,full,wine,0
60,character,full-bodied,wine,0
61,character,light-bodied,wine,0
62,character,medium-bodied,wine,0
63,categories,red,wine,218
64,categories,white,wine,107
65,categories,sparkling,wine,25
66,categories,rosé,wine,0
