type,characteristic,variety,word_count
wine,taste,fruity,18
wine,taste,earthy,26
wine,taste,floral,20
wine,taste,spicy,16
wine,taste,herbal,3
wine,taste,smoky,6
wine,taste,buttery,3
wine,taste,tannic,8
wine,taste,acidic,9
wine,taste,oaky,9
wine,taste,vanilla,29
wine,taste,minerally,0
wine,taste,savory,6
wine,taste,crisp,15
wine,taste,bold,8
wine,taste,smooth,19
wine,taste,dry,55
wine,taste,sweet,54
wine,taste,peppery,1
wine,taste,jammy,7
wine,taste,leathery,1
wine,taste,zesty,0
wine,taste,nutty,1
wine,taste,rich,24
wine,taste,delicate,7
wine,taste,balanced,37
wine,taste,aromatic,4
wine,taste,cherry,61
wine,taste,blackberry,21
wine,taste,plum,43
wine,taste,citrus,18
wine,taste,melon,2
wine,taste,peach,13
wine,taste,honey,14
wine,taste,chocolate,19
wine,taste,coffee,3
wine,taste,grassy,4
wine,taste,pineapple,6
wine,character,sweetness,9
wine,character,sweet,54
wine,character,acidity,59
wine,character,tannin,71
wine,character,light-bodied,0
wine,character,medium-bodied,0
wine,character,full-bodied,5
wine,character,light,96
wine,character,medium,44
wine,character,full,58
wine,wine variety,Cabernet Sauvignon,19
wine,wine variety,Merlot,25
wine,wine variety,Pinot Noir,40
wine,wine variety,Syrah,14
wine,wine variety,Zinfandel,3
wine,wine variety,Chardonnay,33
wine,wine variety,Sauvignon Blanc,16
wine,wine variety,Pinot Grigio,5
wine,wine variety,Riesling,14
wine,wine variety,Malbec,5
wine,wine variety,Tempranillo,2
wine,wine variety,Grenache,10
wine,wine variety,Sangiovese,4
wine,wine variety,Nebbiolo,2
wine,wine variety,Mourvèdre,3
wine,wine variety,Barbera,3
wine,wine variety,Chenin Blanc,4
wine,wine variety,Viognier,1
wine,wine variety,Moscato,5
wine,wine variety,Petit Verdot,7
wine,wine variety,Carignan,2
wine,wine variety,Albariño,1
wine,wine variety,Gewürztraminer,2
wine,wine variety,Pinotage,1
wine,wine variety,Torrontés,0
wine,wine variety,Carménère,0
wine,wine variety,Vermentino,0
wine,wine variety,Gamay,5
wine,wine variety,Touriga Nacional,0
wine,wine variety,Grüner Veltliner,0
wine,wine variety,Tannat,0
wine,wine variety,Primitivo,0
wine,wine variety,Assyrtiko,1
wine,wine variety,Fiano,0
wine,wine variety,Aglianico,1
wine,wine variety,Blaufränkisch,2
wine,wine variety,Trebbiano,0
wine,wine variety,Bobal,0
wine,categories,red,288
wine,categories,white,81
wine,categories,rosé,9
wine,categories,sparkling,18
beer,categories,ale,119
beer,categories,lager,64
beer,raw material,malt,34
beer,raw material,hop,99
beer,taste,bitter,35
beer,taste,sweet,37
beer,taste,sour,44
beer,character,citrusy,0
beer,character,floral,2
beer,character,earthy,1
beer,appearance,color,13
beer,appearance,clarity,0
beer,appearance,foam,12
beer,mouthfeel,light,76
beer,mouthfeel,medium,3
beer,mouthfeel,full,38
beer,brand,Corona,15
beer,brand,Heineken,9
beer,brand,Guinness,34
beer,brand,Stella,8
beer,brand,Modelo,20
